player_name,rookie_start_season,window_years,age_mean,games_sum,games_started_sum,minutes_sum,points_sum,assists_sum,rebounds_sum,steals_sum,blocks_sum,turnovers_sum,points_per36,assists_per36,rebounds_per36,steals_per36,blocks_per36,turnovers_per36,true_shooting_pct,usage_pct,three_point_pct,defensive_win_shares_cum,offensive_win_shares_cum,win_shares_cum,per_mean,ast_to_ratio,availability_mean,position_mode,minutes_trend,points_trend,minutes_cv,games_cv,secondary_label,primary_label
A.J. Green,2022,1,23.0,35.0,1.0,9.9,4.4,0.6,1.3,0.2,0.0,0.3,16.0,2.1818181818181817,4.7272727272727275,0.7272727272727273,0.0,1.0909090909090908,0.607,0.166,0.419,0.3,0.5,0.8,11.5,2.0,0.4268292682926829,SG,,,,,潜力待定型,
A.J. Green,2022,2,23.5,91.0,1.0,20.9,8.9,1.1,2.4000000000000004,0.4,0.1,0.5,15.330143540669859,1.8947368421052635,4.13397129186603,0.6889952153110048,0.1722488038277512,0.861244019138756,0.612,0.159,0.4135,0.6,1.2,1.9000000000000001,11.0,2.2,0.5548780487804879,SG,1.0999999999999992,0.09999999999999923,0.052631578947368404,0.23076923076923078,潜力待定型,
A.J. Green,2022,3,24.0,164.0,8.0,43.599999999999994,16.3,2.6,4.800000000000001,0.9,0.2,1.0,13.45871559633028,2.1467889908256885,3.963302752293579,0.7431192660550461,0.16513761467889912,0.8256880733944955,0.615,0.148,0.418,1.9,2.8,4.7,10.4,2.6,0.6666666666666666,SG,6.399999999999998,1.4999999999999996,0.3985417615875603,0.28430593236279916,3D角色球员,
A.J. Lawson,2022,1,22.0,15.0,0.0,7.2,3.7,0.1,1.4,0.1,0.0,0.2,18.500000000000004,0.5,6.999999999999999,0.5,0.0,1.0,0.589,0.21100000000000002,0.4,0.1,0.1,0.1,13.9,0.5,0.18292682926829268,SG,,,,,潜力待定型,
A.J. Lawson,2022,2,22.5,57.0,0.0,14.600000000000001,6.9,0.6,2.5999999999999996,0.30000000000000004,0.1,0.5,17.013698630136986,1.4794520547945205,6.410958904109588,0.7397260273972603,0.2465753424657534,1.2328767123287672,0.554,0.20550000000000002,0.33,0.4,0.1,0.30000000000000004,12.55,1.2,0.3475609756097561,SG,0.2,-0.5000000000000003,0.013698630136986313,0.47368421052631576,潜力待定型,
A.J. Lawson,2022,3,23.0,83.0,2.0,33.3,16.0,1.7999999999999998,5.8999999999999995,0.8,0.30000000000000004,1.1,17.2972972972973,1.9459459459459458,6.378378378378379,0.864864864864865,0.3243243243243244,1.1891891891891895,0.55,0.20366666666666666,0.329,0.8,0.5,1.1,12.6,1.636363636363636,0.33739837398373984,SG,5.749999999999998,2.6999999999999993,0.4842010603903087,0.40068166622447926,伤病风险型,
AJ Griffin,2022,1,19.0,72.0,12.0,19.5,8.9,1.0,2.1,0.6,0.2,0.6,16.430769230769233,1.846153846153846,3.8769230769230774,1.1076923076923075,0.36923076923076925,1.1076923076923075,0.577,0.179,0.39,0.9,1.3,2.2,12.6,1.6666666666666667,0.8780487804878049,SF,,,,,潜力待定型,
AJ Griffin,2022,2,19.5,92.0,12.0,28.1,11.3,1.3,3.0,0.7,0.30000000000000004,1.0,14.476868327402135,1.6654804270462633,3.843416370106761,0.8967971530249109,0.38434163701067614,1.281138790035587,0.4795,0.176,0.323,0.9,0.9,1.8000000000000003,6.8999999999999995,1.3,0.5609756097560976,SF,-10.9,-6.499999999999997,0.3879003558718861,0.5652173913043478,潜力待定型,
AJ Johnson,2024,1,20.0,29.0,11.0,22.0,7.6,2.6,2.0,0.4,0.1,1.2,12.436363636363637,4.254545454545455,3.272727272727273,0.6545454545454547,0.16363636363636366,1.9636363636363636,0.48,0.174,0.267,0.0,-0.5,-0.4,7.1,2.166666666666667,0.35365853658536583,SG,,,,,潜力待定型,
Adam Flagler,2023,1,24.0,2.0,0.0,7.0,1.5,2.0,0.0,0.0,0.0,0.0,7.7142857142857135,10.285714285714285,0.0,0.0,0.0,0.0,0.214,0.217,0.167,0.0,0.0,0.0,0.6,,0.024390243902439025,SG,,,,,潜力待定型,
