特征,重要性
标签编码,0.27913758
早期得分斜率,0.1581649
生涯长度,0.07837042
峰值年龄,0.058122944
后期/早期得分比,0.037672717
进入联盟年龄,0.03552369
PER均值_weighted,0.029268755
latest_season,0.027260903
早期得分标准差,0.020343058
生涯平均出勤率,0.019960808
早期出场时间斜率,0.019643294
伤病风险评分,0.016230492
真实命中率TS%均值_weighted,0.015185047
胜利贡献值WS均值_weighted,0.012906242
TS%斜率_weighted,0.012792402
使用率USG%均值_weighted,0.012732982
player_id,0.011938894
场均盖帽,0.011289653
新秀期平均出勤率,0.011058845
第3赛季增长率,0.010248041
最大连续缺席场次,0.010110102
USG%斜率_weighted,0.009570381
出勤率稳定性,0.0093693575
最低出勤率,0.008852832
第3赛季得分,0.0077254106
球员定位编码,0.00696443
出场场次,0.0065611927
第2赛季增长率,0.0064007244
BPM均值_weighted,0.00635043
定位核心特征_效率,0.005893352
PER斜率_weighted,0.0055239373
新秀赛季得分,0.005202738
场均篮板,0.0048914915
WS/48均值_weighted,0.0044256663
耐操度综合评分,0.0042793285
VORP均值_weighted,0.0038498207
场均出场时间负荷,0.0032024104
场均助攻,0.0031767748
场均抢断,0.0026280324
定位核心特征_三分,0.0017160896
WS斜率_weighted,0.0012518245
新秀赛季年龄,0.0012197851
早期平均得分,0.0010206926
缺席场次占比,0.0007825338
定位核心特征_使用率_weighted,0.00065738405
定位核心特征_篮板,0.0005216431
超龄新秀标记,0.0
跳级新秀标记,0.0
高伤病风险标记,0.0
三分命中率,0.0
定位核心特征_助攻,0.0
效率值PER,0.0
投篮命中率,0.0
is_training_data,0.0
