feature,importance
points_sum,0.7431888
points_trend,0.5355685
age_mean,0.4344154
minutes_trend,0.29087535
turnovers_sum,0.1708948
blocks_per36,0.12376769
usage_pct,0.08300554
points_per36,0.0599693
steals_per36,0.057441793
true_shooting_pct,0.056288473
games_cv,0.05498544
minutes_sum,0.04114084
per_mean,0.034025703
turnovers_per36,0.027463526
games_started_sum,0.02700606
minutes_cv,0.01764499
rebounds_sum,0.01660599
ast_to_ratio,0.016175246
steals_sum,0.014782341
assists_sum,0.01466341
defensive_win_shares_cum,0.013663937
rebounds_per36,0.013481385
assists_per36,0.012888316
blocks_sum,0.012544298
games_sum,0.01234091
three_point_pct,0.011033492
win_shares_cum,0.009163977
offensive_win_shares_cum,0.005082254
availability_mean,0.004268032
window_years,0.0
