,大器晚成型,早衰型,超长巅峰型,total_importance
minutes_sum,0.045423742,0.02449966,0.05349913,0.12342253
games_cv,0.025665823,0.026057232,0.11323332,0.16495638
true_shooting_pct,0.04826386,0.003366221,0.117235325,0.16886541
steals_per36,0.020723071,0.10466442,0.046937916,0.1723254
points_per36,0.095470965,0.0,0.084436975,0.17990795
usage_pct,0.0063865017,0.0037707537,0.23885943,0.24901669
blocks_per36,0.0,0.108387135,0.26291582,0.37130296
turnovers_sum,0.26264727,0.0068101045,0.24322712,0.51268446
minutes_trend,0.066178076,0.7783877,0.028060233,0.87262607
age_mean,0.0016255334,0.7380384,0.5635819,1.3032458
points_trend,0.34326917,0.922535,0.34090096,1.6067052
points_sum,1.8845173,0.015415773,0.3296326,2.2295656
