feature,importance
age_mean,0.211842
offensive_win_shares_cum,0.18373954
usage_pct,0.17864007
win_shares_cum,0.16503882
points_trend,0.15842597
blocks_per36,0.14224732
minutes_sum,0.14089298
true_shooting_pct,0.12273389
points_per36,0.12034457
three_point_pct,0.12012356
points_sum,0.1177536
ast_to_ratio,0.11425957
minutes_trend,0.109553285
games_sum,0.094532
minutes_cv,0.09417593
turnovers_sum,0.088073686
games_cv,0.084940866
per_mean,0.084122695
defensive_win_shares_cum,0.08330994
steals_per36,0.0831984
rebounds_sum,0.07741833
games_started_sum,0.07667803
assists_per36,0.07453733
rebounds_per36,0.06355442
turnovers_per36,0.04751958
assists_sum,0.034944206
steals_sum,0.032990314
availability_mean,0.032212786
blocks_sum,0.030290063
window_years,0.0
